"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C15,C16";"C_0402_1005Metric";2;"33pF";;;
2;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
3;"C7,C12,C11,C6,C2,C9,C1,C4,C3,C17,C5";"C_0402_1005Metric";11;"0.1uF";;;
4;"SW1";"SW_Push_SPST_NO_Alps_SKRK";1;"SW_Push";;;
5;"C14,C13";"C_0402_1005Metric";2;"10uF";;;
6;"U2";"Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm";1;"W25Q16JVSS";;;
7;"J2,J3";"PinHeader_1x20_P2.54mm_Vertical";2;"Conn_01x20";;;
8;"R6";"R_0402_1005Metric";1;"10k";;;
9;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
10;"D3,D2,D1,D4";"LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder";4;"LED";;;
11;"R2,R1";"R_0402_1005Metric";2;"5.1K";;;
12;"R4,R3";"R_0402_1005Metric";2;"27";;;
13;"U4";"SOT-23";1;"MCP1700x-330xxTT";;;
14;"C10,C8";"C_0402_1005Metric";2;"1uF";;;
15;"R5,R7";"R_0402_1005Metric";2;"1K";;;
16;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12MHz";;;
17;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_14P";;;
